,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Other
2026-02-11 01:00:00+00:00,0.0,4.185338666900967,0.0,148.13424687400567,0.0,0.0,0.0,0.0,0.0,0.0,2.2804144590933477
2026-02-11 02:00:00+00:00,0.0,5.7740191211702765,0.0,191.8247249538607,0.001215994031789738,0.00016676528356009503,0.0,0.0,0.000919716165313279,0.0,3.0489534494883577
2026-02-11 03:00:00+00:00,0.0,3.843015150101105,0.0,147.44169737128635,0.0,0.0,0.0,0.0,0.0,0.0,2.365287478612537
2026-02-11 04:00:00+00:00,0.0,1.0935312705711162,0.0,61.93757777251821,0.002462680027535673,0.0003643093099821025,0.0,0.0,0.001857835925574506,0.0,0.8892061316475744
2026-02-11 05:00:00+00:00,0.0,3.301792008210508,0.0,262.7178013510715,0.0,0.0,0.0,0.0,0.0,0.0,3.430406640718013
2026-02-11 06:00:00+00:00,0.0,5.7463568802206035,0.0,476.98879628789626,0.0,0.0,0.0,0.0,0.0,0.0,5.739846831883128
2026-02-11 07:00:00+00:00,0.0026338638987975353,8.385312773515405,0.0,749.6119363512666,0.0,0.0,0.0,0.0,0.0,0.0,8.325117011319248
2026-02-11 08:00:00+00:00,0.013988977987508878,7.740636938034344,0.0,738.3276075451138,0.002885331522584669,0.00031396942236572474,0.0003599357442557778,0.0,0.0008696871947788463,1.0161784958343967e-05,8.113327453195401
2026-02-11 09:00:00+00:00,0.030224910363649344,6.513448310378702,0.0,720.2570207516701,0.0015467144648185337,0.00019939412711478507,0.0003693328146258354,0.0,0.0,5.380126113638164e-06,7.947185206054851
2026-02-11 10:00:00+00:00,0.03852720956084806,5.785610736757611,0.0,679.2911332990274,0.0,0.0,0.0,0.0,0.0,0.0,7.534728754654205
2026-02-11 11:00:00+00:00,0.025137546024656666,4.472760076805292,0.0,426.2571512242018,1.2236317410740671,0.10113506609284009,0.0,0.0,0.7581246980865447,0.0,4.637059647714836
2026-02-11 12:00:00+00:00,0.01609688307940086,6.766347782370405,0.0,396.89333201630336,3.1962648573232153,0.27313777768764197,0.0,0.0,2.0132865284042656,0.0,4.266534154831731
2026-02-11 13:00:00+00:00,0.005010758492985826,6.61814651523516,0.0,299.5824313169932,3.9790083323675156,0.31648178863103404,0.00039024879149572995,0.0,2.5573186739936715,1.3193867383653638e-05,2.966199171627508
2026-02-11 14:00:00+00:00,0.0016245497224574863,8.14962659172113,0.0,386.211958936888,4.88681349216967,0.4071107632875002,0.0,0.0,3.164367864418185,0.0,3.8534978017930417
